tournament,year,n_teams,n_rounds,team,pos,gp,total_pts,obtained_pts,stage,final_stage_num,,,,,,
copa america,2024,16,4,PAN,7,4,12,6,1/4 final,2,,,,,,
copa america,2024,16,4,ECU,8,4,12,5,1/4 final,2,,,,,,
copa america,2024,16,4,MEX,9,3,9,4,fase grupos,1,,,,,,
copa america,2024,16,4,CRC,10,3,9,4,fase grupos,1,,,,,,
copa america,2024,16,4,USA,11,3,9,3,fase grupos,1,,,,,,
copa america,2024,16,4,CHI,12,3,9,2,fase grupos,1,,,,,,
copa america,2024,16,4,PER,13,3,9,1,fase grupos,1,,,,,,
copa america,2024,16,4,PAR,14,3,9,0,fase grupos,1,,,,,,
copa america,2024,16,4,JAM,15,3,9,0,fase grupos,1,,,,,,
copa america,2024,16,4,BOL,16,3,9,0,fase grupos,1,,,,,,
